image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
250,30,29,1,0.0345,0.0333,0.0339,0.0172,27,28,0,0.0,0.0,0,0.0,57,57,1,0.0175,0.0175,0.0175,0.0088
252,27,27,27,1.0,1.0,1.0,1.0,25,25,16,0.64,0.64,0.64,0.4706,52,52,43,0.8269,0.8269,0.8269,0.7049
254,26,26,26,1.0,1.0,1.0,1.0,24,24,16,0.6667,0.6667,0.6667,0.5,50,50,42,0.84,0.84,0.84,0.7241
258,14,14,6,0.4286,0.4286,0.4286,0.2727,13,13,6,0.4615,0.4615,0.4615,0.3,27,27,12,0.4444,0.4444,0.4444,0.2857
259,24,24,23,0.9583,0.9583,0.9583,0.92,22,22,14,0.6364,0.6364,0.6364,0.4667,46,46,37,0.8043,0.8043,0.8043,0.6727
262,23,23,15,0.6522,0.6522,0.6522,0.4839,22,22,14,0.6364,0.6364,0.6364,0.4667,45,45,29,0.6444,0.6444,0.6444,0.4754
263,17,17,13,0.7647,0.7647,0.7647,0.619,13,16,8,0.5,0.6154,0.5517,0.381,30,33,21,0.6364,0.7,0.6667,0.5
268,16,16,16,1.0,1.0,1.0,1.0,14,14,8,0.5714,0.5714,0.5714,0.4,30,30,24,0.8,0.8,0.8,0.6667
273,20,21,19,0.9048,0.95,0.9268,0.8636,17,20,10,0.5,0.5882,0.5405,0.3704,37,41,29,0.7073,0.7838,0.7436,0.5918
274,17,17,17,1.0,1.0,1.0,1.0,13,13,8,0.6154,0.6154,0.6154,0.4444,30,30,25,0.8333,0.8333,0.8333,0.7143
275,26,26,17,0.6538,0.6538,0.6538,0.4857,22,23,12,0.5217,0.5455,0.5333,0.3636,48,49,29,0.5918,0.6042,0.5979,0.4265
276,17,17,17,1.0,1.0,1.0,1.0,15,15,10,0.6667,0.6667,0.6667,0.5,32,32,27,0.8438,0.8438,0.8438,0.7297
278,23,23,23,1.0,1.0,1.0,1.0,21,21,14,0.6667,0.6667,0.6667,0.5,44,44,37,0.8409,0.8409,0.8409,0.7255
279,26,26,17,0.6538,0.6538,0.6538,0.4857,26,26,14,0.5385,0.5385,0.5385,0.3684,52,52,31,0.5962,0.5962,0.5962,0.4247
