image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
605,24,26,15,0.5769,0.625,0.6,0.4286,21,24,10,0.4167,0.4762,0.4444,0.2857,45,50,25,0.5,0.5556,0.5263,0.3571
607,17,12,10,0.8333,0.5882,0.6897,0.5263,16,16,5,0.3125,0.3125,0.3125,0.1852,33,28,15,0.5357,0.4545,0.4918,0.3261
620,27,27,16,0.5926,0.5926,0.5926,0.4211,26,26,12,0.4615,0.4615,0.4615,0.3,53,53,28,0.5283,0.5283,0.5283,0.359
624,28,27,1,0.037,0.0357,0.0364,0.0185,11,27,0,0.0,0.0,0,0.0,39,54,1,0.0185,0.0256,0.0215,0.0109
627,20,14,10,0.7143,0.5,0.5882,0.4167,19,19,5,0.2632,0.2632,0.2632,0.1515,39,33,15,0.4545,0.3846,0.4167,0.2632
630,26,26,17,0.6538,0.6538,0.6538,0.4857,25,25,16,0.64,0.64,0.64,0.4706,51,51,33,0.6471,0.6471,0.6471,0.4783
634,26,26,17,0.6538,0.6538,0.6538,0.4857,27,27,16,0.5926,0.5926,0.5926,0.4211,53,53,33,0.6226,0.6226,0.6226,0.4521
652,33,32,1,0.0312,0.0303,0.0308,0.0156,12,31,0,0.0,0.0,0,0.0,45,63,1,0.0159,0.0222,0.0185,0.0093
655,17,12,10,0.8333,0.5882,0.6897,0.5263,16,16,5,0.3125,0.3125,0.3125,0.1852,33,28,15,0.5357,0.4545,0.4918,0.3261
663,17,17,11,0.6471,0.6471,0.6471,0.4783,16,16,10,0.625,0.625,0.625,0.4545,33,33,21,0.6364,0.6364,0.6364,0.4667
